id,lifecycle,risk_level,cash_pct,bond_pct,equity_pct,commodity_pct,CASH,BOND,EQUITY,ALT,weight_sum,parse_status
1,刚毕业,1,60,40,0,0,0.7,0.3,0.0,0.0,1.0,sum_not_100
2,刚毕业,2,15,75,0,10,,,,,,failed
3,刚毕业,3,5,55,35,5,,,,,,failed
4,刚毕业,4,5,35,45,15,,,,,,failed
5,刚毕业,5,5,20,55,20,5.0,15.0,50.0,30.0,100.0,success
6,单身青年,1,60,40,0,0,,,,,,failed
7,单身青年,2,15,75,0,10,,,,,,failed
8,单身青年,3,5,55,35,5,10.0,20.0,35.0,35.0,100.0,success
9,单身青年,4,5,35,45,15,,,,,,failed
10,单身青年,5,5,20,55,20,5.0,10.0,50.0,35.0,100.0,success
11,二人世界,1,60,40,0,0,,,,,,failed
12,二人世界,2,15,75,0,10,,,,,,failed
13,二人世界,3,5,55,35,5,,,,,,failed
14,二人世界,4,5,35,45,15,5.0,15.0,50.0,30.0,100.0,success
15,二人世界,5,5,20,55,20,,,,,,failed
16,小孩学前,1,65,35,0,0,,,,,,failed
17,小孩学前,2,20,70,0,10,,,,,,failed
18,小孩学前,3,10,50,35,5,,,,,,failed
19,小孩学前,4,5,30,45,20,5.0,20.0,50.0,25.0,100.0,success
20,小孩学前,5,5,10,55,30,,,,,,failed
21,小孩成年前,1,65,35,0,0,,,,,,failed
22,小孩成年前,2,20,70,0,10,,,,,,failed
23,小孩成年前,3,10,50,35,5,,,,,,failed
24,小孩成年前,4,5,30,45,20,,,,,,failed
25,小孩成年前,5,5,10,55,30,5.0,20.0,52.0,23.0,100.0,success
26,子女成年,1,70,30,0,0,70.0,30.0,0.0,0.0,100.0,success
27,子女成年,2,25,70,0,5,,,,,,failed
28,子女成年,3,15,50,30,5,10.0,20.0,40.0,30.0,100.0,success
29,子女成年,4,10,40,35,15,5.0,20.0,50.0,25.0,100.0,success
30,子女成年,5,15,10,45,30,,,,,,failed
31,退休,1,70,30,0,0,,,,,,failed
32,退休,2,25,70,0,5,20.0,50.0,0.0,30.0,100.0,success
33,退休,3,15,50,30,5,10.0,30.0,35.0,25.0,100.0,success
34,退休,4,10,40,35,15,,,,,,failed
35,退休,5,15,10,45,30,2.0,20.0,50.0,28.0,100.0,success
